Technology,Scenario,IncomeLevel,2025,2030,2050
Solar_PV,Below2,High income,0.0891,0.0882,0.089
Solar_PV,Below2,Lower middle income,0.1047,0.0884,0.0892
Solar_PV,Below2,Upper middle income,0.1249,0.0912,0.0926
Solar_PV,Delayed transition,High income,0.0889,0.088,0.0893
Solar_PV,Delayed transition,Lower middle income,0.1037,0.0881,0.0895
Solar_PV,Delayed transition,Upper middle income,0.1245,0.091,0.0932
Solar_PV,NDC,High income,0.0891,0.0882,0.0894
Solar_PV,NDC,Lower middle income,0.104,0.0881,0.0899
Solar_PV,NDC,Upper middle income,0.1247,0.091,0.0929
Solar_PV,Netzero,High income,0.0892,0.0882,0.089
Solar_PV,Netzero,Lower middle income,0.105,0.0885,0.0887
Solar_PV,Netzero,Upper middle income,0.125,0.0913,0.0927
Wind_Offshore,Below2,High income,0.0767,0.0758,0.0766
Wind_Offshore,Below2,Lower middle income,0.0923,0.076,0.0768
Wind_Offshore,Below2,Upper middle income,0.1125,0.0788,0.0802
Wind_Offshore,Delayed transition,High income,0.0765,0.0756,0.0769
Wind_Offshore,Delayed transition,Lower middle income,0.0913,0.0757,0.0771
Wind_Offshore,Delayed transition,Upper middle income,0.1121,0.0786,0.0808
Wind_Offshore,NDC,High income,0.0767,0.0758,0.077
Wind_Offshore,NDC,Lower middle income,0.0916,0.0757,0.0775
Wind_Offshore,NDC,Upper middle income,0.1123,0.0786,0.0805
Wind_Offshore,Netzero,High income,0.0768,0.0758,0.0766
Wind_Offshore,Netzero,Lower middle income,0.0926,0.0761,0.0763
Wind_Offshore,Netzero,Upper middle income,0.1126,0.0789,0.0803
Wind_Onshore,Below2,High income,0.0691,0.0682,0.069
Wind_Onshore,Below2,Lower middle income,0.0847,0.0684,0.0692
Wind_Onshore,Below2,Upper middle income,0.1049,0.0712,0.0726
Wind_Onshore,Delayed transition,High income,0.0689,0.068,0.0693
Wind_Onshore,Delayed transition,Lower middle income,0.0837,0.0681,0.0695
Wind_Onshore,Delayed transition,Upper middle income,0.1045,0.071,0.0732
Wind_Onshore,NDC,High income,0.0691,0.0682,0.0694
Wind_Onshore,NDC,Lower middle income,0.084,0.0681,0.0699
Wind_Onshore,NDC,Upper middle income,0.1047,0.071,0.0729
Wind_Onshore,Netzero,High income,0.0692,0.0682,0.069
Wind_Onshore,Netzero,Lower middle income,0.085,0.0685,0.0687
Wind_Onshore,Netzero,Upper middle income,0.105,0.0713,0.0727
